,Name,info
10,Home & Garden,Home & Garden Gardening Remodeling & Construction Smart Home Home Appliances Home Entertaining Home Improvement Home Security Landscaping Indoor Environmental Quality Interior Decorating Outdoor Decorating
11,Medical Health,"Medical Health Diseases and Conditions Allergies Ear, Nose and Throat Conditions Endocrine and Metabolic Diseases Hormonal Disorders Menopause Thyroid Disorders Eye and Vision Conditions Foot Health Heart and Cardiovascular Diseases Infectious Diseases Injuries First Aid Lung and Respiratory Health Mental Health Reproductive Health Birth Control Infertility Pregnancy Blood Disorders Sexual Health Sexual Conditions Skin and Dermatology Sleep Disorders Substance Abuse Bone and Joint Conditions Brain and Nervous System Disorders Cancer Cold and Flu Dental Health Diabetes Digestive Disorders Medical Tests Pharmaceutical Drugs Surgery Vaccines Cosmetic Medical Services"
12,Movies,Movies Action and Adventure Movies Romance Movies Science Fiction Movies Special Interest Movies Animation Movies Comedy Movies Crime and Mystery Movies Documentary Movies Drama Movies Family and Children Movies Fantasy Movies Horror Movies World Movies
13,Music and Audio,"Music and Audio Adult Contemporary Music Soft AC Music Urban AC Music Adult Album Alternative Alternative Music Children's Music Classic Hits Classical Music College Radio Comedy (Music and Audio) Contemporary Hits/Pop/Top 40 Country Music Dance and Electronic Music World/International Music Songwriters/Folk Gospel Music Hip Hop Music Inspirational/New Age Music Jazz Oldies/Adult Standards Reggae Blues Religious (Music and Audio) R&B/Soul/Funk Rock Music Album-oriented Rock Alternative Rock Classic Rock Hard Rock Soft Rock Soundtracks, TV and Showtunes Sports Radio Talk Radio Business News Radio Educational Radio News Radio News/Talk Radio Public Radio Urban Contemporary Music Variety (Music and Audio)"
14,Pets,Pets Birds Cats Dogs Large Animals Reptiles Fish and Aquariums Pet Adoptions Veterinary Medicine Pet Supplies
15,Pop Culture,Pop Culture Celebrity Deaths Celebrity Families Celebrity Homes Celebrity Pregnancy Celebrity Relationships Celebrity Scandal Celebrity Style Humor and Satire
16,Real Estate,Real Estate Apartments Retail Property Hotel Properties Houses Land and Farms Office Property Vacation Properties Developmental Sites Industrial Property Real Estate Buying and Selling Real Estate Renting and Leasing
17,Religion & Spirituality,Religion & Spirituality Agnosticism Spirituality Astrology Atheism Buddhism Christianity Hinduism Islam Judaism Sikhism
18,Science,Science Space and Astronomy Biological Sciences Chemistry Environment Genetics Geography Geology Physics
19,Shopping,Shopping Flower Shopping Grocery Shopping Holiday Shopping Household Supplies Children's Games and Toys Coupons and Discounts Gifts and Greetings Cards Lotteries and Scratchcards Sales and Promotions
20,Sports,Sports American Football Boxing Cheerleading College Sports College Football College Basketball College Baseball Cricket Cycling Darts Disabled Sports Diving Equine Sports Horse Racing Extreme Sports Canoeing and Kayaking Climbing Paintball Scuba Diving Skateboarding Snowboarding Surfing and Bodyboarding Waterskiing and Wakeboarding Australian Rules Football Fantasy Sports Field Hockey Figure Skating Fishing Sports Golf Gymnastics Hunting and Shooting Ice Hockey Inline Skating Lacrosse Auto Racing Motorcycle Sports Martial Arts Olympic Sports Summer Olympic Sports Winter Olympic Sports Poker and Professional Gambling Rodeo Rowing Rugby Rugby League Rugby Union Sailing Skiing Snooker/Pool/Billiards Soccer Badminton Softball Squash Swimming Table Tennis Tennis Track and Field Volleyball Walking Water Polo Weightlifting Baseball Wrestling Basketball Beach Volleyball Bodybuilding Bowling Sports Equipment
21,Style & Fashion,Style & Fashion Beauty Natural and Organic Beauty Skin Care Women's Fashion Women's Accessories Women's Glasses Women's Hats and Scarves Hair Care Women's Business Wear Women's Casual Wear Makeup and Accessories Women's Intimates and Sleepwear Women's Outerwear Women's Sportswear Nail Care Body Art Children's Clothing Designer Clothing Fashion Trends High Fashion Men's Fashion Men's Accessories Men's Jewelry and Watches Perfume and Fragrance Men's Business Wear Women's Clothing Women's Shoes and Footwear Men's Outerwear Men's Sportswear Men's Underwear and Sleepwear Men's Shoes and Footwear Personal Care Men's Clothing Bath and Shower Deodorant and Antiperspirant Oral care Street Style Shaving Women's Handbags and Wallets Women's Jewelry and Watches Women's Formal Wear Men's Casual Wear Men's Formal Wear
22,Technology & Computing,Technology & Computing Consumer Electronics Artificial Intelligence Augmented Reality Computing Computer Networking Computer Peripherals Computer Software and Applications 3-D Graphics Photo Editing Software Shareware and Freeware Video Software Web Conferencing Antivirus Software Browsers Computer Animation Databases Desktop Publishing Digital Audio Graphics Software Operating Systems Data Storage and Warehousing Desktops Information and Network Security Internet Cloud Computing Web Development Web Hosting Email Internet for Beginners Internet of Things IT and Internet Support Search Social Networking Web Design and HTML Laptops Programming Languages Cameras and Camcorders Smartphones Home Entertainment Systems Tablets and E-readers Wearable Technology Robotics Virtual Reality
23,Television,Television Animation TV Soap Opera TV Special Interest TV Sports TV Children's TV Comedy TV Drama TV Factual TV Holiday TV Music TV Reality TV Science Fiction TV
24,Travel,Travel Travel Accessories Travel Locations Africa Travel Asia Travel Australia and Oceania Travel Europe Travel North America Travel Polar Travel South America Travel Hotels and Motels Rail Travel Air Travel Beach Travel Camping Travel Preparation and Advice Travel Type Adventure Travel Family Travel Honeymoons and Getaways Cruises Road Trips Spas Bed & Breakfasts Budget Travel Business Travel Day Trips
25,Video Gaming,Video Gaming Console Games eSports Mobile Games PC Games Video Game Genres Action Video Games Role-Playing Video Games Simulation Video Games Sports Video Games Strategy Video Games Action-Adventure Video Games Adventure Video Games Casual Games Educational Video Games Exercise and Fitness Video Games MMOs Music and Party Video Games Puzzle Video Games
26,Careers,Careers Apprenticeships Career Advice Career Planning Job Search Job Fairs Resume Writing and Advice Remote Working Vocational Training
27,News and Politics,News and Politics Crime Disasters International News Law Local News National News Politics Elections Political Issues War and Conflicts Weather
28,Personal Finance,Personal Finance Consumer Banking Financial Assistance Government Support and Welfare Student Financial Aid Financial Planning Frugal Living Insurance Health Insurance Home Insurance Life Insurance Motor Insurance Pet Insurance Travel Insurance Personal Debt Credit Cards Home Financing Personal Loans Student Loans Personal Investing Hedge Funds Mutual Funds Options Stocks and Bonds Personal Taxes Retirement Planning Home Utilities Gas and Electric Internet Service Providers Phone Services Water Services
