,Adword,Text,Score
102,Business and Finance,i'm a financial analyst of pantechnics corporation,0.5662
103,Business and Finance,investment banker,0.5610
104,Business and Finance,i have a test for business school tomorrow night,0.5570
105,Business and Finance, okay i'm about to put forth economics,0.5543
106,Business and Finance,what's the latest now  major player in the finance world,0.5517
107,Business and Finance,it could be a business,0.5500
108,Business and Finance,investment banking is a very lucrative field,0.5330
109,Business and Finance,a cost of doing business,0.5218
110,Business and Finance, speaking of which what is the uh hierarchy of our new business venture  what are you talking about  titles,0.5188
111,Business and Finance,  so let's talk business,0.5139
112,Business and Finance, in business it's all about supply and demand and  yeah iii get all that,0.5104
113,Business and Finance,okay we're in business girls,0.5087
114,Business and Finance, i'm in marketing,0.5045
115,Business and Finance,this is a business transaction,0.5019
116,Business and Finance,this is a business transaction,0.5019
117,Business and Finance,tune.  regarding our financials mr,0.5001
118,Business and Finance,"what business do you have in this competition""",0.4961
119,Business and Finance,this is business,0.4954
120,Business and Finance,what the hell was that about  business,0.4944
121,Business and Finance, i minored in econ noah i get it,0.4900
122,Business and Finance,having an investment in the business and getting a chunk of the profits  mmhmm,0.4898
123,Business and Finance, big baby's businesses,0.4886
124,Business and Finance,""" this is not businessrelated",0.4876
125,Business and Finance,what are we doing now what profit do we make what this or that nothing,0.4860
126,Business and Finance, i'm conducting business,0.4806
127,Business and Finance,over this past year these small business owners have had to overcome the massive economic loss that hit the world new york city and the fashion industry,0.4803
128,Business and Finance, potential buyers,0.4793
129,Business and Finance,in the current market in l,0.4765
130,Business and Finance,i'’m just a businessman,0.4726
131,Business and Finance,in long term and in business the only person that can help you is yourself,0.4719
132,Business and Finance,i mean anybody ca businessmen,0.4715
133,Business and Finance, we sell real estate,0.4703
134,Business and Finance,total current assets $26300700,0.4690
135,Business and Finance,i sell a lifestyle,0.4684
136,Business and Finance,i sell a lifestyle,0.4684
137,Business and Finance,thisisthe financial settlement,0.4679
138,Business and Finance,"""financial settlement",0.4677
139,Business and Finance,just a lot of investment stuff,0.4670
140,Business and Finance,quarterly reports,0.4670
141,Business and Finance,salesmen and profit centers,0.4668
142,Business and Finance, i started a business,0.4627
143,Business and Finance,biotech firms game designers tech startups,0.4625
144,Business and Finance, we're in the middle of business,0.4624
145,Business and Finance, how do we earn your business is what i wanna know,0.4617
146,Business and Finance,what's that  my principal my interest my service fees my dignity my happiness and my soul,0.4592
147,Business and Finance, business is going great,0.4584
148,Business and Finance, business is going great,0.4584
149,Business and Finance,i have to find out wh  my online business is very important to me,0.4568
150,Education, my college education,0.6259
151,Education,so you know a little education for them,0.5846
152,Education,to making and dare i say it educational stephen experience,0.5642
153,Education,we have classrooms,0.5597
154,Education,helping to shape the developing mind,0.5423
155,Education,prison system's very educational,0.5388
156,Education, building schools,0.5359
157,Education, you're teaching,0.5331
158,Education, an the mindset that i had the whole education from stephen,0.5300
159,Education,the sacrifices we make for our children's education,0.5148
160,Education,all shouting gunshot for a better education,0.4977
161,Education,i'm only doing this until i get my master's in education,0.4964
162,Education, it's educational,0.4909
163,Education, sociology  yeah,0.4858
164,Education, sociology  yeah,0.4858
165,Education,our program is really about education and awareness,0.4843
166,Education, you go to school,0.4800
167,Education,what happened to your education  i got a p,0.4771
168,Education,we teach our students that character counts,0.4712
169,Education, this is the formal what do you call it study,0.4636
170,Education,it was educational,0.4585
171,Education,then what am i supposed to teach  teach them whatever you want,0.4502
172,Education,mom and dad said that you're out here for a better education,0.4484
173,Education,when you grow up in a country of terror and war you have to learn how to survive,0.4479
174,Education, i'm giving a lesson,0.4444
175,Education,i want to teach them what i know,0.4436
176,Education,and i want to better myself through higher education,0.4426
177,Education, kids  put 'em in new schools,0.4379
178,Education, no more learning,0.4366
179,Education,how  how did you discover that when i was about five i didn't really know the meaning of motivational speaker,0.4350
180,Education, mom and dad said that you were out here for a better education,0.4312
181,Education,well you see i never had any higher education and so well who did all we were taught was french prejudice and dance steps,0.4302
182,Education, to learn more about th,0.4255
183,Education,knowledge and reverence,0.4252
184,Education, all the degrees really,0.4243
185,Education,and so i did what they taught us at the academy,0.4236
186,Education, with her teacher  her t,0.4226
187,Education,i don't teach that crap,0.4221
188,Education,the grades the sports,0.4220
189,Education, i can see that i am going to need a fast education,0.4214
190,Education, this is send an institution out with respect,0.4214
191,Education,i'm here to make us all the best educators we can be,0.4210
192,Education,practico practico,0.4204
193,Education,where do you go to school  u,0.4188
194,Education,if you had the wisdom you'd teach the children but no,0.4164
195,Education,i think teachers play such a large role,0.4157
196,Education, what do you teach the usual things writing mathematics,0.4116
197,Education, chuckles i came here from philly for a better education you know just like i said it's simple,0.4102
198,Education,why  it's a d3 school,0.4087
199,Education,we're learning together,0.4078
200,Events and Attractions,convention last fall,0.5748
201,Events and Attractions,love a good carnival,0.5657
202,Events and Attractions,we got a big event coming up,0.5560
203,Events and Attractions,the annual women's booster league rodeo fundraiser and fair,0.5482
204,Events and Attractions,worldfamous walt disney's epcot center,0.5430
205,Events and Attractions,this is belle epoque in paris,0.5392
206,Events and Attractions,an open house farmer's market now that's an event worth driving two hours for,0.5207
207,Events and Attractions,the grounds are spectacular,0.5165
208,Events and Attractions,first and foremost i have to launch this brand in the next couple of weeks and we need to do an event here,0.5139
209,Events and Attractions, it's a nice venue,0.5100
210,Events and Attractions,wanting you to do more events,0.5094
211,Events and Attractions,for the opening of the british empire exhibition,0.5000
212,Events and Attractions,this is where i'd really like to come for my birthday,0.4963
213,Events and Attractions,we can't do big events,0.4929
214,Events and Attractions,  it was a beautiful event,0.4906
215,Events and Attractions,so we found this beautiful venue in jersey city,0.4885
216,Events and Attractions, oh firefighting expo is this week,0.4846
217,Events and Attractions,this is an amazing event,0.4813
218,Events and Attractions, disneyland  my badpoor choice of words,0.4812
219,Events and Attractions,so what's next burning man  it's a long story,0.4803
220,Events and Attractions,due to covid we planned to have this event be outdoor so people could have a picnic enjoying the backyard while they wait leisurely to have a private tour inside the house,0.4773
221,Events and Attractions, san diego modern art fair,0.4750
222,Events and Attractions, gay shame festival,0.4733
223,Events and Attractions,  private event tonight,0.4713
224,Events and Attractions,the carnival's our home,0.4698
225,Events and Attractions, still trying to find aa venue,0.4678
226,Events and Attractions,kind of entertainers' palace,0.4670
227,Events and Attractions,it is now time to unveil the destination of this year's retreat,0.4652
228,Events and Attractions,again we have word of an event,0.4642
229,Events and Attractions,in a couple of months i'm attending a cfda event in paris,0.4619
230,Events and Attractions, itinerary requests,0.4595
231,Events and Attractions, this event isn't on the same night as ours,0.4586
232,Events and Attractions,let's review the events,0.4535
233,Events and Attractions,we were there for sanford wells' wedding,0.4534
234,Events and Attractions, do you like it  this is your event right here,0.4531
235,Events and Attractions,i'm trying to set a historic downtown record,0.4511
236,Events and Attractions, although i'm not working the event my job is to make sure that my client has really great exposure and more exposure for them means more money for me,0.4508
237,Events and Attractions, carnival's gone  they're in new york central park,0.4475
238,Events and Attractions,renaissance faire,0.4456
239,Events and Attractions,typically we just do galas and rent out a venue,0.4434
240,Events and Attractions,the old beautiful structure that's gonna be a hotel,0.4425
241,Events and Attractions, we've had a tip about the alpine grand prix auto race which starts in vienna and winds up in paris,0.4418
242,Events and Attractions,people go there from all over the country,0.4413
243,Events and Attractions,door opening and last stop on our tour my booth where all the magic happens,0.4409
244,Events and Attractions, kathy: this is where the concert was  jj: that is the concert venue,0.4389
245,Events and Attractions, san francisco memorial but honey please don't come,0.4388
246,Events and Attractions,i took all of you guys to the del mar fair,0.4375
247,Events and Attractions,i know you have your event,0.4368
248,Events and Attractions,shoreline resort and spa,0.4364
249,Events and Attractions, we'll be in vegas next week for a twoweek run at the mirage,0.4359
250,Family and Relationships, don't ing talk about my family,0.6311
251,Family and Relationships,we have different relationships with people,0.6240
252,Family and Relationships,and there is nothing more important than family,0.5931
253,Family and Relationships, it doesn't have to be family,0.5883
254,Family and Relationships, all you need to know is that they're family,0.5869
255,Family and Relationships,  i mean family's everything,0.5858
256,Family and Relationships, he's your family,0.5844
257,Family and Relationships,you know my family means the world to me,0.5803
258,Family and Relationships,what do families do they give each other sh,0.5795
259,Family and Relationships,you have a strong family close ties,0.5771
260,Family and Relationships,just families sharing our lives,0.5685
261,Family and Relationships,my father's history the culture mother my father  bill,0.5660
262,Family and Relationships,a family of sorts,0.5658
263,Family and Relationships,tune.  seeing like how my parents' marriage was and then my dad and the choices he made nestly commitment issues,0.5643
264,Family and Relationships,again i'm talking about the family,0.5596
265,Family and Relationships,in the lives of and that love,0.5578
266,Family and Relationships, relationship  yeah,0.5567
267,Family and Relationships,21st century family coming through,0.5545
268,Family and Relationships,this group is not your average family,0.5538
269,Family and Relationships,sorry again about my family,0.5529
270,Family and Relationships,my dad my sister my friends,0.5527
271,Family and Relationships, my marriage and my family is first from here on out,0.5506
272,Family and Relationships,but family dynamics is causing a problem it's very complicated,0.5461
273,Family and Relationships,my situation your home life,0.5456
274,Family and Relationships, this is better than a family,0.5455
275,Family and Relationships, don't want to make up with people just because they're family,0.5450
276,Family and Relationships,family is a horrible price to pay for what we're trying to do,0.5432
277,Family and Relationships,what happened with your parents,0.5403
278,Family and Relationships,my family's all you've got,0.5397
279,Family and Relationships, no family  my sister and i got into a big fight,0.5368
280,Family and Relationships, we're her family,0.5350
281,Family and Relationships, no matter how much you fight family is always gonna be there,0.5342
282,Family and Relationships,your child and your family,0.5337
283,Family and Relationships, i have a family,0.5335
284,Family and Relationships,this is my family,0.5323
285,Family and Relationships,some things happened like my family got kind of split up,0.5318
286,Family and Relationships, to try to hold this family together,0.5282
287,Family and Relationships,if you mess with my family you mess with me,0.5272
288,Family and Relationships, i'm afraid to get into relationships because of my family,0.5250
289,Family and Relationships, i'm afraid to get into relationships because of my family,0.5250
290,Family and Relationships,i'd much rather hear about your family,0.5238
291,Family and Relationships, look sometimes family means checking in with people whether they want that or not,0.5230
292,Family and Relationships,you call these people your family but they're not,0.5227
293,Family and Relationships,it's not a family,0.5226
294,Family and Relationships,it's not a family,0.5226
295,Family and Relationships,henry's parents the way that they treated me the things that they said,0.5203
296,Family and Relationships,he meets my family,0.5189
297,Family and Relationships, we're all family here,0.5181
298,Family and Relationships,family stuff can be tough,0.5150
299,Family and Relationships,fighting with my it'’s called family,0.5146
300,Fine Art, the art gallery,0.6192
301,Fine Art,laughter  i do entertainment fashion,0.5581
302,Fine Art,and if you think about it what we do is art,0.5505
303,Fine Art,i like to create art,0.5436
304,Fine Art,no other art form no other art formtouches that,0.5412
305,Fine Art, it's a delicate art all right  come on,0.5395
306,Fine Art,a painting i found,0.5317
307,Fine Art,my friends are artists and creatives,0.5139
308,Fine Art, i didn't exactly get my art degree but  that's great,0.5125
309,Fine Art, this is not  this is art i'm sorry,0.5122
310,Fine Art, screaming  a true artist,0.5100
311,Fine Art,there's a lot of things you can do with an art degree actually,0.5062
312,Fine Art,hello yes uh the fine arts forgery department please,0.5034
313,Fine Art,my mother had a a real love for the arts,0.4996
314,Fine Art,because i'm just gonna call it a piece of art,0.4950
315,Fine Art,i create wearable art,0.4943
316,Fine Art,i create wearable art,0.4943
317,Fine Art,my auntie talked me into taking this art history elective,0.4935
318,Fine Art, art's legendary,0.4927
319,Fine Art, yeah and you're an art,0.4922
320,Fine Art, well my paintings aim to capture the beauty and strength of ordinary black folk in portraiture,0.4914
321,Fine Art,i think julia likes art,0.4881
322,Fine Art,where you see an eyesore i see a picture window into a world of art and culture,0.4866
323,Fine Art, for finer things,0.4858
324,Fine Art,renaissance faire,0.4841
325,Fine Art,i inherited my artistic abilities from my father,0.4827
326,Fine Art, this could be an art gallery,0.4822
327,Fine Art," ""into photography"" i have a website",0.4787
328,Fine Art,this was done by a very gifted artist in new york,0.4772
329,Fine Art, laughing  it's a painting,0.4708
330,Fine Art,i like to create pieces that make you think and make you laugh at the same time,0.4695
331,Fine Art,i've created an amazing piece,0.4688
332,Fine Art,i've created an amazing piece,0.4688
333,Fine Art, this piece is beautiful,0.4683
334,Fine Art,  oh well he loves art,0.4640
335,Fine Art,tune.tune.  i love seeing designer ateliers,0.4632
336,Fine Art,tronomical talents,0.4632
337,Fine Art,ladies and gentlemen a true virtuoso,0.4604
338,Fine Art,when you're an artist you just want to make sure everything looks so good and perfect,0.4602
339,Fine Art,ing real man's work,0.4593
340,Fine Art, i have a beautiful career,0.4587
341,Fine Art,her art moves me,0.4558
342,Fine Art, i won an oscar so now i get to do real art,0.4557
343,Fine Art,my aesthetic is very abstract and avantgarde,0.4553
344,Fine Art,and that's what art is about,0.4552
345,Fine Art, most of my art is improvisational so,0.4547
346,Fine Art,i'm a photographer,0.4543
347,Fine Art,if your passion for art was so real why did you walk away from it dramatic music  will is in,0.4533
348,Fine Art,you know this isn't just a collection of art,0.4521
349,Fine Art, there's an elegance,0.4517
350,Food & Drink,some wines and drinks some food,0.7034
351,Food & Drink, delicious meals,0.6291
352,Food & Drink,hope it's good food,0.6141
353,Food & Drink,food & wine om gail simmons fr hi guys,0.6075
354,Food & Drink,food and refreshments are available in the lobby,0.6024
355,Food & Drink,steak and potatoes,0.6012
356,Food & Drink,laughter  and spicerubbed salmon and then local vegetables,0.5777
357,Food & Drink,friday's entrees that our consumers will crave,0.5773
358,Food & Drink,oh cheeseburgers and fries,0.5757
359,Food & Drink,oh cheeseburgers and fries,0.5757
360,Food & Drink,food should be welcoming,0.5742
361,Food & Drink, what do you want to drink we just ordered,0.5689
362,Food & Drink,the people the music the food,0.5650
363,Food & Drink,a couple of beers,0.5634
364,Food & Drink, i wanna know what the main course was tonight,0.5569
365,Food & Drink, your food from whatever grocery store you waste your money at,0.5559
366,Food & Drink,um pizza toppings,0.5507
367,Food & Drink, breakfast is served,0.5499
368,Food & Drink,uh favorite cuisine meat and seafood,0.5440
369,Food & Drink,so we're dying to hear what all this good food is,0.5432
370,Food & Drink,so we're dying to hear what all this good food is,0.5432
371,Food & Drink,i say kevin and angelo's food,0.5361
372,Food & Drink,laughter brownies and fries,0.5349
373,Food & Drink,  what  we have the foodsaver we can bring,0.5332
374,Food & Drink,and the breakfast,0.5327
375,Food & Drink, a couple of cocktails,0.5286
376,Food & Drink,whatever you got on tap,0.5285
377,Food & Drink,butter and bread,0.5268
378,Food & Drink,and the restaurant yeah but mainly you,0.5267
379,Food & Drink,pizza my favorite you know that,0.5215
380,Food & Drink,um alfredo sauce and then food for honey and then food for the vegan,0.5211
381,Food & Drink,whatever you guys drink,0.5194
382,Food & Drink, all different kinds of cuisine,0.5185
383,Food & Drink,we like stuff i don't know like meat and potatoes,0.5161
384,Food & Drink, frozen food aisle,0.5116
385,Food & Drink, furnished by kfc,0.5099
386,Food & Drink,we've got tahitian food and music,0.5097
387,Food & Drink, what would you like to drink  oh,0.5082
388,Food & Drink, what do we sell um,0.5081
389,Food & Drink, restaurant's open,0.5081
390,Food & Drink, the dish of your life tomorrow,0.5073
391,Food & Drink,"furnished by san pellegrino; along with a feature in ""food & wine magazine"" an appearance at the food & wine classic in aspen",0.5068
392,Food & Drink,d its ingredients the love for the land an has really made me focus on the food,0.5031
393,Food & Drink,food i'’m glad that you got fish because that'’s all i eat,0.5008
394,Food & Drink,there's plenty of food,0.4989
395,Food & Drink, can we get the rundown of what we're having for dinner  we will try some highly,0.4959
396,Food & Drink,a combination of all the best stuff in the world,0.4957
397,Food & Drink, they're all the main dish,0.4947
398,Food & Drink,what would you want to do on a day off drink,0.4934
399,Food & Drink, so what's on tap for the rest of the day  well we need to talk about the brooklyn open house,0.4928
400,Healthy Living,living at its best,0.6404
401,Healthy Living, you know thriving,0.5832
402,Healthy Living,trying to eat healthy,0.5448
403,Healthy Living,and being young and vibrant and not old and jaded like i am now so,0.5325
404,Healthy Living,take care of yourself,0.5246
405,Healthy Living,i think that food shouldpromote your health,0.5230
406,Healthy Living,breathing is good,0.5079
407,Healthy Living, live your best life,0.5068
408,Healthy Living,can we do something about healthy food  what do you want to do about it  uh have some,0.4988
409,Healthy Living,like no stress more life,0.4953
410,Healthy Living,i'm just trying to live my best life,0.4846
411,Healthy Living, oh living well has always been a bit of a hobby of mine,0.4814
412,Healthy Living,everything is healthy happy and beautiful,0.4788
413,Healthy Living, what life brings,0.4764
414,Healthy Living,my goal is to keep your loved one as healthy as i can for as long as i can,0.4757
415,Healthy Living, supremely healthy,0.4739
416,Healthy Living,you know enjoy life to the fullest,0.4723
417,Healthy Living,mething from the heart,0.4718
418,Healthy Living,life from lifelessness,0.4712
419,Healthy Living, use it in good health,0.4711
420,Healthy Living, delicious meals,0.4669
421,Healthy Living, healthy as a horse,0.4598
422,Healthy Living, just knowing where you're at in life,0.4597
423,Healthy Living, like being alive,0.4549
424,Healthy Living, how you been living  heart is still beating wife and kids happy and healthy,0.4515
425,Healthy Living,and finding a cure,0.4505
426,Healthy Living,lead a less stressful life,0.4502
427,Healthy Living,i'm in the healthiest relationship of my life,0.4474
428,Healthy Living,generosity and togetherness and community all convalescences into,0.4471
429,Healthy Living, i'm just living my life,0.4459
430,Healthy Living, oh come on max this is good for you breathing in the cool morning air appreciating nature,0.4440
431,Healthy Living,peace prosperity,0.4401
432,Healthy Living,  living the dream,0.4394
433,Healthy Living,enriching the lives of those in need,0.4387
434,Healthy Living,laughter  it's good for you,0.4353
435,Healthy Living, taking the opportunity to start fresh and purging,0.4349
436,Healthy Living,a big lecture on all the things you gain from loss empathy appreciation strength resilience,0.4344
437,Healthy Living,eat some ing food,0.4344
438,Healthy Living,important thing in my life right now,0.4342
439,Healthy Living,  energy is good,0.4296
440,Healthy Living,i got to figure out a way to put some more balance in my life,0.4270
441,Healthy Living,prosperity dreams freedom,0.4262
442,Healthy Living, not drinking not eating,0.4254
443,Healthy Living,give us something truly legitimate and beneficial,0.4252
444,Healthy Living,like every day i do a gratitude list i do meditation i do affirmations,0.4246
445,Healthy Living,but as a health care professional i'm only doing what i think is best,0.4239
446,Healthy Living,what about the living conditions and the food  you know i've tried to improve things,0.4230
447,Healthy Living,i'’m taking everything day by day,0.4222
448,Healthy Living, and your life depends on your health,0.4205
449,Healthy Living,frome from behavioral health,0.4204
450,Hobbies & Interests,and there are hobbies,0.6774
451,Hobbies & Interests,really what do you sit and look at i have hobbies,0.6006
452,Hobbies & Interests, you don't know my interests,0.5249
453,Hobbies & Interests,"they're listed under stuff like ""fishing gear"" ""camping"" ""archery"" you know hobbies",0.5218
454,Hobbies & Interests,i love people i love deals and i love architecture and houses,0.5196
455,Hobbies & Interests, so what else do you like to do  um okay,0.5038
456,Hobbies & Interests,every man should have a hobby,0.4979
457,Hobbies & Interests,  my passions are political,0.4971
458,Hobbies & Interests, i like geometry and,0.4963
459,Hobbies & Interests, my favorite activity,0.4953
460,Hobbies & Interests,the friends you hang with the drugs you're into i mean you like lacrosse and yachting and race cars,0.4823
461,Hobbies & Interests, oh we could use a hobby to do together,0.4656
462,Hobbies & Interests,i just love to play with my friends and i love to hang out but my favorite is geography,0.4627
463,Hobbies & Interests,laughter  i do entertainment fashion,0.4617
464,Hobbies & Interests,look get a hobby,0.4567
465,Hobbies & Interests, doing what  not going to the movies,0.4536
466,Hobbies & Interests,watching some of your friends,0.4467
467,Hobbies & Interests,i'm glad to see your old interests are reasserting themselves,0.4444
468,Hobbies & Interests,what do you do for fun what do you like to organize my drawers,0.4443
469,Hobbies & Interests, music  my wife is a blogger and it's awesome,0.4432
470,Hobbies & Interests, what kind of music do you listen to that's really one of them,0.4428
471,Hobbies & Interests,tune. he's into snowboarding social media influencing and reiki,0.4410
472,Hobbies & Interests,specialties in with my shoes,0.4386
473,Hobbies & Interests,specialties in with my shoes,0.4386
474,Hobbies & Interests, you can mix business with pleasure,0.4369
475,Hobbies & Interests,music it's all about the feel having fun,0.4347
476,Hobbies & Interests,but i really really liked fashion,0.4326
477,Hobbies & Interests,my career i want to enjoy painting and trying to get myself up to a place where i feel independent,0.4322
478,Hobbies & Interests,games is one thing,0.4313
479,Hobbies & Interests,sometimes i like to play a game of dungeons & dragons hang out with my friends play some video games work on some music and smoke questionable things,0.4301
480,Hobbies & Interests,i like to create art,0.4277
481,Hobbies & Interests, i've been getting obsessed with stuff,0.4261
482,Hobbies & Interests,four things chris brown loves the most women alcohol snowboarding and travel,0.4261
483,Hobbies & Interests, business is personal,0.4246
484,Hobbies & Interests, i like geometry,0.4240
485,Hobbies & Interests,stuff and nonsense,0.4235
486,Hobbies & Interests,a lot of fun stuff,0.4215
487,Hobbies & Interests,like to be extremely busy,0.4208
488,Hobbies & Interests," ""into photography"" i have a website",0.4204
489,Hobbies & Interests,i need to expand my horizons,0.4187
490,Hobbies & Interests,life i have more i want to do,0.4173
491,Hobbies & Interests, i need addictions,0.4149
492,Hobbies & Interests, laughter  wherewhere to begin  sewing and programming i think have a lot in common actually just trying and trying until it works and it's a lot of just like throwing ideas at the wall,0.4143
493,Hobbies & Interests," laughter   cheers and applause  so do you have a favorite subject in school i like the ""fesh",0.4142
494,Hobbies & Interests,dancing and meeting people,0.4140
495,Hobbies & Interests,  music  mainly right here,0.4109
496,Hobbies & Interests,their personal conduct social media history finances,0.4109
497,Hobbies & Interests, are interesting,0.4102
498,Hobbies & Interests,so we need topics for conversation,0.4088
499,Hobbies & Interests,fantasies of a normal life,0.4066
500,Home & Garden, what is this place  home,0.5485
501,Home & Garden,i focused on clean simple greenery along here and here,0.5125
502,Home & Garden,what every home needs,0.5097
503,Home & Garden, the back garden,0.5037
504,Home & Garden,what is this place  our new home,0.4790
505,Home & Garden,undergoing a renovation,0.4730
506,Home & Garden, we were looking at properties,0.4708
507,Home & Garden,this is a beautiful home,0.4642
508,Home & Garden, some beautiful old houses,0.4633
509,Home & Garden,the homemakers they're the people that are buying the food for the house,0.4598
510,Home & Garden, oh and what business is that mr,0.4595
511,Home & Garden,the landscape the green,0.4571
512,Home & Garden, influencer house,0.4565
513,Home & Garden, landscaping to the tune of $100000,0.4560
514,Home & Garden,we put together a bunch of information that really sells this as a family neighborhood,0.4529
515,Home & Garden,i'm selling a lifestyle,0.4526
516,Home & Garden, showed a couple of houses,0.4519
517,Home & Garden, the dock the boat the fishing pond the beach and we are going to sell this lake lifestyle,0.4514
518,Home & Garden,  kitchenthe main island,0.4469
519,Home & Garden,one of your houses i assume,0.4467
520,Home & Garden,funky music so this is one of the two backyards,0.4453
521,Home & Garden,on the house on brouncker road,0.4452
522,Home & Garden, the kitchen the kitchen the kitchen,0.4441
523,Home & Garden,i sell a lifestyle,0.4434
524,Home & Garden,i sell a lifestyle,0.4434
525,Home & Garden,ambient nature sounds fredrik: this house in connecticut is really life changing,0.4427
526,Home & Garden, look at some houses,0.4423
527,Home & Garden,and we are shooting my home today for an interior design magazine,0.4414
528,Home & Garden,  what  he loves the house,0.4397
529,Home & Garden, what do we sell um,0.4392
530,Home & Garden, so i need to do something that's like big and all encompassing like the house,0.4388
531,Home & Garden, so i wanted to talk about the house,0.4386
