,Unnamed: 0,Adword,Text,Score,Length of Sentence,Editorial Relevance,Clarity of Sentence,Tier1 Parent
69,69,Books and Literature, the library's gonna help you out a lot i think,0.4896,47,,,Books and Literature
70,70,Books and Literature,stuff and nonsense,0.4889,18,,,Books and Literature
71,71,Books and Literature,i have four days to finish thisthis book,0.4858,40,,,Books and Literature
72,72,Books and Literature, well girl what kind of book this is it,0.4852,39,,,Books and Literature
73,73,Books and Literature, how do you do i've read several of your books,0.4785,46,,,Books and Literature
74,74,Books and Literature,maybe one of these books,0.4757,24,,,Books and Literature
75,75,Books and Literature,i'll see about getting you that book,0.4746,36,,,Books and Literature
76,76,Books and Literature,remember you have some reading to do,0.4743,36,,,Books and Literature
77,77,Books and Literature,tune.  okay so of the approved books,0.4728,36,,,Books and Literature
78,78,Books and Literature, ancient history,0.4724,16,,,Books and Literature
79,79,Books and Literature,where isthe book oh,0.4706,19,,,Books and Literature
80,80,Books and Literature, i write books for a living,0.4681,27,,,Books and Literature
81,81,Books and Literature,which just happens to be the very same book you're reading,0.4674,58,,,Books and Literature
82,82,Books and Literature,"""the book that we watched",0.4638,25,,,Books and Literature
83,83,Books and Literature,but we already looked inthe book,0.4634,32,,,Books and Literature
84,84,Books and Literature,and where they take place,0.4624,25,,,Books and Literature
85,85,Books and Literature, anyone and everything in the world,0.4607,35,,,Books and Literature
86,86,Books and Literature,where's your mother in the library,0.4593,34,,,Books and Literature
87,87,Books and Literature,you know i do have text books in the budget,0.4591,43,,,Books and Literature
88,88,Books and Literature,what are they advice to my readers,0.4589,34,,,Books and Literature
89,89,Books and Literature,in the lives of and that love,0.4565,29,,,Books and Literature
90,90,Books and Literature, what  book club,0.4563,16,,,Books and Literature
91,91,Books and Literature,we never go to finish talking about our book,0.4517,44,,,Books and Literature
92,92,Books and Literature,it's my book too,0.4513,16,,,Books and Literature
93,93,Books and Literature, so you had to get rid of the books,0.4502,35,,,Books and Literature
94,94,Books and Literature,which one oh my most recent work,0.4484,32,,,Books and Literature
95,95,Books and Literature,to do what well these are books on demons,0.4457,41,,,Books and Literature
96,96,Books and Literature,i started writing children's books,0.445,34,,,Books and Literature
97,97,Books and Literature,wells' english class period,0.442,27,,,Books and Literature
98,98,Books and Literature,okay so you know what just take the book and i'm done,0.4417,53,,,Books and Literature
99,99,Books and Literature, what exactly comes to mind  sex drugs and rock and roll,0.4408,56,,,Books and Literature
100,100,Business and Finance,i'm in finance for fuck's sake,0.6033,30,,,Business and Finance
101,101,Business and Finance, oh and what business is that mr,0.5803,32,,,Business and Finance
102,102,Business and Finance,i'm a financial analyst of pantechnics corporation,0.5662,50,,,Business and Finance
103,103,Business and Finance,investment banker,0.561,17,,,Business and Finance
104,104,Business and Finance,i have a test for business school tomorrow night,0.557,48,,,Business and Finance
105,105,Business and Finance, okay i'm about to put forth economics,0.5543,38,,,Business and Finance
106,106,Business and Finance,what's the latest now  major player in the finance world,0.5517,56,,,Business and Finance
107,107,Business and Finance,it could be a business,0.55,22,,,Business and Finance
108,108,Business and Finance,investment banking is a very lucrative field,0.533,44,,,Business and Finance
109,109,Business and Finance,a cost of doing business,0.5218,24,,,Business and Finance
110,110,Business and Finance, speaking of which what is the uh hierarchy of our new business venture  what are you talking about  titles,0.5188,107,,,Business and Finance
111,111,Business and Finance,  so let's talk business,0.5139,24,,,Business and Finance
112,112,Business and Finance, in business it's all about supply and demand and  yeah iii get all that,0.5104,72,,,Business and Finance
113,113,Business and Finance,okay we're in business girls,0.5087,28,,,Business and Finance
114,114,Business and Finance, i'm in marketing,0.5045,17,,,Business and Finance
115,115,Business and Finance,this is a business transaction,0.5019,30,,,Business and Finance
116,116,Business and Finance,this is a business transaction,0.5019,30,,,Business and Finance
117,117,Business and Finance,tune.  regarding our financials mr,0.5001,34,,,Business and Finance
118,118,Business and Finance,"what business do you have in this competition""",0.4961,46,,,Business and Finance
119,119,Business and Finance,this is business,0.4954,16,,,Business and Finance
120,120,Business and Finance,what the hell was that about  business,0.4944,38,,,Business and Finance
121,121,Business and Finance, i minored in econ noah i get it,0.49,32,,,Business and Finance
122,122,Business and Finance,having an investment in the business and getting a chunk of the profits  mmhmm,0.4898,78,,,Business and Finance
123,123,Business and Finance, big baby's businesses,0.4886,22,,,Business and Finance
124,124,Business and Finance,""" this is not businessrelated",0.4876,29,,,Business and Finance
125,125,Business and Finance,what are we doing now what profit do we make what this or that nothing,0.486,70,,,Business and Finance
126,126,Business and Finance, i'm conducting business,0.4806,24,,,Business and Finance
127,127,Business and Finance,over this past year these small business owners have had to overcome the massive economic loss that hit the world new york city and the fashion industry,0.4803,152,,,Business and Finance
128,128,Business and Finance, potential buyers,0.4793,17,,,Business and Finance
129,129,Business and Finance,in the current market in l,0.4765,26,,,Business and Finance
130,130,Business and Finance,i'â€™m just a businessman,0.4726,23,,,Business and Finance
131,131,Business and Finance,in long term and in business the only person that can help you is yourself,0.4719,74,,,Business and Finance
132,132,Business and Finance,i mean anybody ca businessmen,0.4715,29,,,Business and Finance
133,133,Business and Finance, we sell real estate,0.4703,20,,,Business and Finance
134,134,Business and Finance,total current assets $26300700,0.469,30,,,Business and Finance
135,135,Business and Finance,i sell a lifestyle,0.4684,18,,,Business and Finance
136,136,Business and Finance,i sell a lifestyle,0.4684,18,,,Business and Finance
137,137,Business and Finance,thisisthe financial settlement,0.4679,30,,,Business and Finance
138,138,Business and Finance,"""financial settlement",0.4677,21,,,Business and Finance
139,139,Business and Finance,just a lot of investment stuff,0.467,30,,,Business and Finance
140,140,Business and Finance,quarterly reports,0.467,17,,,Business and Finance
141,141,Business and Finance,salesmen and profit centers,0.4668,27,,,Business and Finance
142,142,Business and Finance, i started a business,0.4627,21,,,Business and Finance
143,143,Business and Finance,biotech firms game designers tech startups,0.4625,42,,,Business and Finance
144,144,Business and Finance, we're in the middle of business,0.4624,32,,,Business and Finance
145,145,Business and Finance, how do we earn your business is what i wanna know,0.4617,50,,,Business and Finance
146,146,Business and Finance,what's that  my principal my interest my service fees my dignity my happiness and my soul,0.4592,89,,,Business and Finance
147,147,Business and Finance, business is going great,0.4584,24,,,Business and Finance
148,148,Business and Finance, business is going great,0.4584,24,,,Business and Finance
149,149,Business and Finance,i have to find out wh  my online business is very important to me,0.4568,65,,,Business and Finance
150,150,Education, my college education,0.6259,21,,,Education
151,151,Education,so you know a little education for them,0.5846,39,,,Education
152,152,Education,to making and dare i say it educational stephen experience,0.5642,58,,,Education
153,153,Education,we have classrooms,0.5597,18,,,Education
154,154,Education,helping to shape the developing mind,0.5423,36,,,Education
155,155,Education,prison system's very educational,0.5388,32,,,Education
156,156,Education, building schools,0.5359,17,,,Education
157,157,Education, you're teaching,0.5331,16,,,Education
158,158,Education, an the mindset that i had the whole education from stephen,0.53,59,,,Education
159,159,Education,the sacrifices we make for our children's education,0.5148,51,,,Education
160,160,Education,all shouting gunshot for a better education,0.4977,43,,,Education
161,161,Education,i'm only doing this until i get my master's in education,0.4964,56,,,Education
162,162,Education, it's educational,0.4909,17,,,Education
163,163,Education, sociology  yeah,0.4858,16,,,Education
164,164,Education, sociology  yeah,0.4858,16,,,Education
165,165,Education,our program is really about education and awareness,0.4843,51,,,Education
166,166,Education, you go to school,0.48,17,,,Education
167,167,Education,what happened to your education  i got a p,0.4771,42,,,Education
168,168,Education,we teach our students that character counts,0.4712,43,,,Education
169,169,Education, this is the formal what do you call it study,0.4636,45,,,Education
170,170,Education,it was educational,0.4585,18,,,Education
171,171,Education,then what am i supposed to teach  teach them whatever you want,0.4502,62,,,Education
172,172,Education,mom and dad said that you're out here for a better education,0.4484,60,,,Education
173,173,Education,when you grow up in a country of terror and war you have to learn how to survive,0.4479,80,,,Education
174,174,Education, i'm giving a lesson,0.4444,20,,,Education
175,175,Education,i want to teach them what i know,0.4436,32,,,Education
176,176,Education,and i want to better myself through higher education,0.4426,52,,,Education
177,177,Education, kids  put 'em in new schools,0.4379,29,,,Education
178,178,Education, no more learning,0.4366,17,,,Education
179,179,Education,how  how did you discover that when i was about five i didn't really know the meaning of motivational speaker,0.435,109,,,Education
180,180,Education, mom and dad said that you were out here for a better education,0.4312,63,,,Education
181,181,Education,well you see i never had any higher education and so well who did all we were taught was french prejudice and dance steps,0.4302,121,,,Education
182,182,Education, to learn more about th,0.4255,23,,,Education
183,183,Education,knowledge and reverence,0.4252,23,,,Education
184,184,Education, all the degrees really,0.4243,23,,,Education
185,185,Education,and so i did what they taught us at the academy,0.4236,47,,,Education
186,186,Education, with her teacher  her t,0.4226,24,,,Education
187,187,Education,i don't teach that crap,0.4221,23,,,Education
188,188,Education,the grades the sports,0.422,21,,,Education
189,189,Education, i can see that i am going to need a fast education,0.4214,51,,,Education
190,190,Education, this is send an institution out with respect,0.4214,45,,,Education
191,191,Education,i'm here to make us all the best educators we can be,0.421,52,,,Education
192,192,Education,practico practico,0.4204,17,,,Education
193,193,Education,where do you go to school  u,0.4188,28,,,Education
194,194,Education,if you had the wisdom you'd teach the children but no,0.4164,53,,,Education
195,195,Education,i think teachers play such a large role,0.4157,39,,,Education
196,196,Education, what do you teach the usual things writing mathematics,0.4116,55,,,Education
197,197,Education, chuckles i came here from philly for a better education you know just like i said it's simple,0.4102,94,,,Education
198,198,Education,why  it's a d3 school,0.4087,21,,,Education
199,199,Education,we're learning together,0.4078,23,,,Education
200,200,Events and Attractions,convention last fall,0.5748,20,,,Events and Attractions
201,201,Events and Attractions,love a good carnival,0.5657,20,,,Events and Attractions
202,202,Events and Attractions,we got a big event coming up,0.556,28,,,Events and Attractions
203,203,Events and Attractions,the annual women's booster league rodeo fundraiser and fair,0.5482,59,,,Events and Attractions
204,204,Events and Attractions,worldfamous walt disney's epcot center,0.543,38,,,Events and Attractions
205,205,Events and Attractions,this is belle epoque in paris,0.5392,29,,,Events and Attractions
206,206,Events and Attractions,an open house farmer's market now that's an event worth driving two hours for,0.5207,77,,,Events and Attractions
207,207,Events and Attractions,the grounds are spectacular,0.5165,27,,,Events and Attractions
208,208,Events and Attractions,first and foremost i have to launch this brand in the next couple of weeks and we need to do an event here,0.5139,106,,,Events and Attractions
209,209,Events and Attractions, it's a nice venue,0.51,18,,,Events and Attractions
210,210,Events and Attractions,wanting you to do more events,0.5094,29,,,Events and Attractions
211,211,Events and Attractions,for the opening of the british empire exhibition,0.5,48,,,Events and Attractions
212,212,Events and Attractions,this is where i'd really like to come for my birthday,0.4963,53,,,Events and Attractions
213,213,Events and Attractions,we can't do big events,0.4929,22,,,Events and Attractions
214,214,Events and Attractions,  it was a beautiful event,0.4906,26,,,Events and Attractions
215,215,Events and Attractions,so we found this beautiful venue in jersey city,0.4885,47,,,Events and Attractions
216,216,Events and Attractions, oh firefighting expo is this week,0.4846,34,,,Events and Attractions
217,217,Events and Attractions,this is an amazing event,0.4813,24,,,Events and Attractions
218,218,Events and Attractions, disneyland  my badpoor choice of words,0.4812,39,,,Events and Attractions
219,219,Events and Attractions,so what's next burning man  it's a long story,0.4803,45,,,Events and Attractions
220,220,Events and Attractions,due to covid we planned to have this event be outdoor so people could have a picnic enjoying the backyard while they wait leisurely to have a private tour inside the house,0.4773,171,,,Events and Attractions
221,221,Events and Attractions, san diego modern art fair,0.475,26,,,Events and Attractions
222,222,Events and Attractions, gay shame festival,0.4733,19,,,Events and Attractions
223,223,Events and Attractions,  private event tonight,0.4713,23,,,Events and Attractions
224,224,Events and Attractions,the carnival's our home,0.4698,23,,,Events and Attractions
225,225,Events and Attractions, still trying to find aa venue,0.4678,30,,,Events and Attractions
226,226,Events and Attractions,kind of entertainers' palace,0.467,28,,,Events and Attractions
227,227,Events and Attractions,it is now time to unveil the destination of this year's retreat,0.4652,63,,,Events and Attractions
228,228,Events and Attractions,again we have word of an event,0.4642,30,,,Events and Attractions
229,229,Events and Attractions,in a couple of months i'm attending a cfda event in paris,0.4619,57,,,Events and Attractions
230,230,Events and Attractions, itinerary requests,0.4595,19,,,Events and Attractions
231,231,Events and Attractions, this event isn't on the same night as ours,0.4586,43,,,Events and Attractions
232,232,Events and Attractions,let's review the events,0.4535,23,,,Events and Attractions
233,233,Events and Attractions,we were there for sanford wells' wedding,0.4534,40,,,Events and Attractions
234,234,Events and Attractions, do you like it  this is your event right here,0.4531,46,,,Events and Attractions
235,235,Events and Attractions,i'm trying to set a historic downtown record,0.4511,44,,,Events and Attractions
236,236,Events and Attractions, although i'm not working the event my job is to make sure that my client has really great exposure and more exposure for them means more money for me,0.4508,150,,,Events and Attractions
237,237,Events and Attractions, carnival's gone  they're in new york central park,0.4475,50,,,Events and Attractions
238,238,Events and Attractions,renaissance faire,0.4456,17,,,Events and Attractions
239,239,Events and Attractions,typically we just do galas and rent out a venue,0.4434,47,,,Events and Attractions
240,240,Events and Attractions,the old beautiful structure that's gonna be a hotel,0.4425,51,,,Events and Attractions
241,241,Events and Attractions, we've had a tip about the alpine grand prix auto race which starts in vienna and winds up in paris,0.4418,99,,,Events and Attractions
242,242,Events and Attractions,people go there from all over the country,0.4413,41,,,Events and Attractions
243,243,Events and Attractions,door opening and last stop on our tour my booth where all the magic happens,0.4409,75,,,Events and Attractions
244,244,Events and Attractions, kathy: this is where the concert was  jj: that is the concert venue,0.4389,68,,,Events and Attractions
245,245,Events and Attractions, san francisco memorial but honey please don't come,0.4388,51,,,Events and Attractions
246,246,Events and Attractions,i took all of you guys to the del mar fair,0.4375,42,,,Events and Attractions
247,247,Events and Attractions,i know you have your event,0.4368,26,,,Events and Attractions
248,248,Events and Attractions,shoreline resort and spa,0.4364,24,,,Events and Attractions
249,249,Events and Attractions, we'll be in vegas next week for a twoweek run at the mirage,0.4359,60,,,Events and Attractions
250,250,Family and Relationships, don't ing talk about my family,0.6311,31,,,Family and Relationships
251,251,Family and Relationships,we have different relationships with people,0.624,43,,,Family and Relationships
252,252,Family and Relationships,and there is nothing more important than family,0.5931,47,,,Family and Relationships
253,253,Family and Relationships, it doesn't have to be family,0.5883,29,,,Family and Relationships
254,254,Family and Relationships, all you need to know is that they're family,0.5869,44,,,Family and Relationships
255,255,Family and Relationships,  i mean family's everything,0.5858,28,,,Family and Relationships
256,256,Family and Relationships, he's your family,0.5844,17,,,Family and Relationships
257,257,Family and Relationships,you know my family means the world to me,0.5803,40,,,Family and Relationships
258,258,Family and Relationships,what do families do they give each other sh,0.5795,43,,,Family and Relationships
259,259,Family and Relationships,you have a strong family close ties,0.5771,35,,,Family and Relationships
260,260,Family and Relationships,just families sharing our lives,0.5685,31,,,Family and Relationships
261,261,Family and Relationships,my father's history the culture mother my father  bill,0.566,54,,,Family and Relationships
262,262,Family and Relationships,a family of sorts,0.5658,17,,,Family and Relationships
263,263,Family and Relationships,tune.  seeing like how my parents' marriage was and then my dad and the choices he made nestly commitment issues,0.5643,112,,,Family and Relationships
264,264,Family and Relationships,again i'm talking about the family,0.5596,34,,,Family and Relationships
265,265,Family and Relationships,in the lives of and that love,0.5578,29,,,Family and Relationships
266,266,Family and Relationships, relationship  yeah,0.5567,19,,,Family and Relationships
267,267,Family and Relationships,21st century family coming through,0.5545,34,,,Family and Relationships
268,268,Family and Relationships,this group is not your average family,0.5538,37,,,Family and Relationships
269,269,Family and Relationships,sorry again about my family,0.5529,27,,,Family and Relationships
270,270,Family and Relationships,my dad my sister my friends,0.5527,27,,,Family and Relationships
271,271,Family and Relationships, my marriage and my family is first from here on out,0.5506,52,,,Family and Relationships
272,272,Family and Relationships,but family dynamics is causing a problem it's very complicated,0.5461,62,,,Family and Relationships
273,273,Family and Relationships,my situation your home life,0.5456,27,,,Family and Relationships
274,274,Family and Relationships, this is better than a family,0.5455,29,,,Family and Relationships
275,275,Family and Relationships, don't want to make up with people just because they're family,0.545,62,,,Family and Relationships
276,276,Family and Relationships,family is a horrible price to pay for what we're trying to do,0.5432,61,,,Family and Relationships
277,277,Family and Relationships,what happened with your parents,0.5403,31,,,Family and Relationships
278,278,Family and Relationships,my family's all you've got,0.5397,26,,,Family and Relationships
279,279,Family and Relationships, no family  my sister and i got into a big fight,0.5368,48,,,Family and Relationships
280,280,Family and Relationships, we're her family,0.535,17,,,Family and Relationships
281,281,Family and Relationships, no matter how much you fight family is always gonna be there,0.5342,61,,,Family and Relationships
282,282,Family and Relationships,your child and your family,0.5337,26,,,Family and Relationships
283,283,Family and Relationships, i have a family,0.5335,16,,,Family and Relationships
284,284,Family and Relationships,this is my family,0.5323,17,,,Family and Relationships
285,285,Family and Relationships,some things happened like my family got kind of split up,0.5318,56,,,Family and Relationships
286,286,Family and Relationships, to try to hold this family together,0.5282,36,,,Family and Relationships
287,287,Family and Relationships,if you mess with my family you mess with me,0.5272,43,,,Family and Relationships
288,288,Family and Relationships, i'm afraid to get into relationships because of my family,0.525,58,,,Family and Relationships
289,289,Family and Relationships, i'm afraid to get into relationships because of my family,0.525,58,,,Family and Relationships
290,290,Family and Relationships,i'd much rather hear about your family,0.5238,38,,,Family and Relationships
291,291,Family and Relationships, look sometimes family means checking in with people whether they want that or not,0.523,82,,,Family and Relationships
292,292,Family and Relationships,you call these people your family but they're not,0.5227,49,,,Family and Relationships
293,293,Family and Relationships,it's not a family,0.5226,17,,,Family and Relationships
294,294,Family and Relationships,it's not a family,0.5226,17,,,Family and Relationships
295,295,Family and Relationships,henry's parents the way that they treated me the things that they said,0.5203,70,,,Family and Relationships
296,296,Family and Relationships,he meets my family,0.5189,18,,,Family and Relationships
297,297,Family and Relationships, we're all family here,0.5181,22,,,Family and Relationships
298,298,Family and Relationships,family stuff can be tough,0.515,25,,,Family and Relationships
299,299,Family and Relationships,fighting with my it'â€™s called family,0.5146,36,,,Family and Relationships
300,300,Fine Art, the art gallery,0.6192,16,,,Fine Art
301,301,Fine Art,laughter  i do entertainment fashion,0.5581,36,,,Fine Art
302,302,Fine Art,and if you think about it what we do is art,0.5505,43,,,Fine Art
303,303,Fine Art,i like to create art,0.5436,20,,,Fine Art
304,304,Fine Art,no other art form no other art formtouches that,0.5412,47,,,Fine Art
305,305,Fine Art, it's a delicate art all right  come on,0.5395,39,,,Fine Art
306,306,Fine Art,a painting i found,0.5317,18,,,Fine Art
307,307,Fine Art,my friends are artists and creatives,0.5139,36,,,Fine Art
308,308,Fine Art, i didn't exactly get my art degree but  that's great,0.5125,53,,,Fine Art
309,309,Fine Art, this is not  this is art i'm sorry,0.5122,35,,,Fine Art
310,310,Fine Art, screaming  a true artist,0.51,25,,,Fine Art
311,311,Fine Art,there's a lot of things you can do with an art degree actually,0.5062,62,,,Fine Art
312,312,Fine Art,hello yes uh the fine arts forgery department please,0.5034,52,,,Fine Art
313,313,Fine Art,my mother had a a real love for the arts,0.4996,40,,,Fine Art
314,314,Fine Art,because i'm just gonna call it a piece of art,0.495,45,,,Fine Art
315,315,Fine Art,i create wearable art,0.4943,21,,,Fine Art
316,316,Fine Art,i create wearable art,0.4943,21,,,Fine Art
317,317,Fine Art,my auntie talked me into taking this art history elective,0.4935,57,,,Fine Art
318,318,Fine Art, art's legendary,0.4927,16,,,Fine Art
319,319,Fine Art, yeah and you're an art,0.4922,23,,,Fine Art
320,320,Fine Art, well my paintings aim to capture the beauty and strength of ordinary black folk in portraiture,0.4914,95,,,Fine Art
321,321,Fine Art,i think julia likes art,0.4881,23,,,Fine Art
322,322,Fine Art,where you see an eyesore i see a picture window into a world of art and culture,0.4866,79,,,Fine Art
323,323,Fine Art, for finer things,0.4858,17,,,Fine Art
324,324,Fine Art,renaissance faire,0.4841,17,,,Fine Art
325,325,Fine Art,i inherited my artistic abilities from my father,0.4827,48,,,Fine Art
326,326,Fine Art, this could be an art gallery,0.4822,29,,,Fine Art
327,327,Fine Art," ""into photography"" i have a website",0.4787,36,,,Fine Art
328,328,Fine Art,this was done by a very gifted artist in new york,0.4772,49,,,Fine Art
329,329,Fine Art, laughing  it's a painting,0.4708,26,,,Fine Art
330,330,Fine Art,i like to create pieces that make you think and make you laugh at the same time,0.4695,79,,,Fine Art
331,331,Fine Art,i've created an amazing piece,0.4688,29,,,Fine Art
332,332,Fine Art,i've created an amazing piece,0.4688,29,,,Fine Art
333,333,Fine Art, this piece is beautiful,0.4683,24,,,Fine Art
334,334,Fine Art,  oh well he loves art,0.464,22,,,Fine Art
335,335,Fine Art,tune.tune.  i love seeing designer ateliers,0.4632,43,,,Fine Art
336,336,Fine Art,tronomical talents,0.4632,18,,,Fine Art
337,337,Fine Art,ladies and gentlemen a true virtuoso,0.4604,36,,,Fine Art
338,338,Fine Art,when you're an artist you just want to make sure everything looks so good and perfect,0.4602,85,,,Fine Art
339,339,Fine Art,ing real man's work,0.4593,19,,,Fine Art
340,340,Fine Art, i have a beautiful career,0.4587,26,,,Fine Art
341,341,Fine Art,her art moves me,0.4558,16,,,Fine Art
342,342,Fine Art, i won an oscar so now i get to do real art,0.4557,43,,,Fine Art
343,343,Fine Art,my aesthetic is very abstract and avantgarde,0.4553,44,,,Fine Art
344,344,Fine Art,and that's what art is about,0.4552,28,,,Fine Art
345,345,Fine Art, most of my art is improvisational so,0.4547,37,,,Fine Art
346,346,Fine Art,i'm a photographer,0.4543,18,,,Fine Art
347,347,Fine Art,if your passion for art was so real why did you walk away from it dramatic music  will is in,0.4533,92,,,Fine Art
348,348,Fine Art,you know this isn't just a collection of art,0.4521,44,,,Fine Art
349,349,Fine Art, there's an elegance,0.4517,20,,,Fine Art
350,350,Food & Drink,some wines and drinks some food,0.7034,31,,,Food & Drink
351,351,Food & Drink, delicious meals,0.6291,16,,,Food & Drink
352,352,Food & Drink,hope it's good food,0.6141,19,,,Food & Drink
353,353,Food & Drink,food & wine om gail simmons fr hi guys,0.6075,38,,,Food & Drink
354,354,Food & Drink,food and refreshments are available in the lobby,0.6024,48,,,Food & Drink
355,355,Food & Drink,steak and potatoes,0.6012,18,,,Food & Drink
356,356,Food & Drink,laughter  and spicerubbed salmon and then local vegetables,0.5777,58,,,Food & Drink
357,357,Food & Drink,friday's entrees that our consumers will crave,0.5773,46,,,Food & Drink
358,358,Food & Drink,oh cheeseburgers and fries,0.5757,26,,,Food & Drink
359,359,Food & Drink,oh cheeseburgers and fries,0.5757,26,,,Food & Drink
360,360,Food & Drink,food should be welcoming,0.5742,24,,,Food & Drink
361,361,Food & Drink, what do you want to drink we just ordered,0.5689,42,,,Food & Drink
362,362,Food & Drink,the people the music the food,0.565,29,,,Food & Drink
363,363,Food & Drink,a couple of beers,0.5634,17,,,Food & Drink
